msg_id	en-us	ko-kr	zh-tw	zh-cn	ja-jp	vi-vn	fr	mn	th	ms	id	hi	fa	ne	ur	tr	he	ar	de	es	it	pt	ru	pl	km	my	bn	ta	pa	mr	te	uk	sv	sw
type_e-mail	Type in your e-mail adress.	이메일 주소를 입력해 주세요.	請輸入電子郵件地址。	请输入电子邮件地址。	メールアドレスを入力してください。	Nhập địa chỉ email của bạn.	Saisissez votre adresse e-mail.	Имэйл хаягаа оруулна уу.	พิมพ์อีเมลของคุณ	Taipkan alamat e-mel anda.	Ketikkan alamat email Anda.	अपना ई-मेल पता टाइप करें.	آدرس ایمیل خود را تایپ کنید	आफ्नो इमेल ठेगाना टाइप गर्नुहोस्।	اپنا ای میل ایڈریس ٹائپ کریں۔	E-posta adresinizi yazın.	הקלד את כתובת הדואר האלקטרוני שלך.	اكتب عنوان البريد الإلكتروني الخاص بك.	Geben Sie Ihre E-Mail-Adresse ein.	Escriba su dirección de correo electrónico.	Inserisci il tuo indirizzo email.	Digite seu endereço de e-mail.	Введите свой адрес электронной почты.	Wpisz swój adres e-mail.	វាយបញ្ចូលអាសយដ្ឋានអ៊ីមែលរបស់អ្នក។	သင့်အီးမေးလ်လိပ်စာကို ရိုက်ထည့်ပါ။	আপনার ই-মেইল ঠিকানা টাইপ করুন.	உங்கள் மின்னஞ்சல் முகவரியை உள்ளிடவும்.	ਆਪਣਾ ਈ-ਮੇਲ ਪਤਾ ਟਾਈਪ ਕਰੋ।	तुमचा ई-मेल पत्ता टाइप करा.	మీ ఇ-మెయిల్ చిరునామాను టైప్ చేయండి.	Введіть свою електронну адресу.	Skriv in din e-postadress.	Andika anwani yako ya barua pepe.
type_e-mail_again	Type in your e-mail adress again.	이메일 주소를 한 번 더 입력해 주세요.	請再輸入一次電子郵件地址。	请再输入一次电子邮件地址。	メールアドレスをもう一度入力してください。	Nhập lại địa chỉ email của bạn.	Saisissez à nouveau votre adresse e-mail.	Имэйл хаягаа дахин бичнэ үү.	พิมพ์อีเมลของคุณอีกครั้ง	Taipkan alamat e-mel anda sekali lagi.	Ketik lagi alamat email Anda.	अपना ई-मेल पता दोबारा टाइप करें।	آدرس ایمیل خود را دوباره وارد کنید.	आफ्नो इमेल ठेगाना फेरि टाइप गर्नुहोस्।	اپنا ای میل ایڈریس دوبارہ ٹائپ کریں۔	E-posta adresinizi tekrar yazın.	הקלד שוב את כתובת הדואר האלקטרוני שלך.	اكتب عنوان البريد الإلكتروني الخاص بك مرة أخرى.	Geben Sie Ihre E-Mail-Adresse erneut ein.	Escriba su dirección de correo electrónico nuevamente.	Inserisci nuovamente il tuo indirizzo email.	Digite seu endereço de e-mail novamente.	Введите свой адрес электронной почты еще раз.	Wpisz ponownie swój adres e-mail.	វាយបញ្ចូលអាសយដ្ឋានអ៊ីមែលរបស់អ្នកម្តងទៀត។	သင့်အီးမေးလ်လိပ်စာကို ထပ်မံရိုက်ထည့်ပါ။	আপনার ই-মেইল ঠিকানা আবার টাইপ করুন.	உங்கள் மின்னஞ்சல் முகவரியை மீண்டும் தட்டச்சு செய்யவும்.	ਆਪਣਾ ਈ-ਮੇਲ ਪਤਾ ਦੁਬਾਰਾ ਟਾਈਪ ਕਰੋ।	तुमचा ई-मेल पत्ता पुन्हा टाइप करा.	మీ ఇమెయిల్ చిరునామాను మళ్లీ టైప్ చేయండి.	Введіть свою електронну адресу ще раз.	Skriv in din e-postadress igen.	Andika anwani yako ya barua pepe tena.
type_e-mail_twice	Enter your e-mail twice.	이메일을 두 번 입력해주세요.	請輸入兩次電子郵件	请输入两次电子邮件	Eメールを二度入力してください。	Nhập e-mail của bạn hai lần.	Entrez votre e-mail deux fois.	Имэйлээ хоёр удаа оруулна уу.	กรอกอีเมลของคุณสองครั้ง	Masukkan e-mel anda dua kali.	Masukkan email Anda dua kali.	अपना ई-मेल दो बार दर्ज करें.	ایمیل خود را دو بار وارد کنید.	आफ्नो इमेल दुई पटक प्रविष्ट गर्नुहोस्।	اپنا ای میل دو بار درج کریں۔	E-postanızı iki kez girin.	הכנס את המייל שלך פעמיים.	أدخل بريدك الإلكتروني مرتين.	Geben Sie Ihre E-Mail-Adresse zweimal ein.	Ingrese su correo electrónico dos veces.	Inserisci due volte la tua email.	Digite seu e-mail duas vezes.	Введите свой адрес электронной почты дважды.	Wpisz dwukrotnie swój adres e-mail.	បញ្ចូលអ៊ីមែលរបស់អ្នកពីរដង។	သင့်အီးမေးလ်ကို နှစ်ကြိမ်ထည့်ပါ။	আপনার ই-মেইল দুবার লিখুন।	உங்கள் மின்னஞ்சலை இருமுறை உள்ளிடவும்.	ਆਪਣੀ ਈ-ਮੇਲ ਦੋ ਵਾਰ ਦਾਖਲ ਕਰੋ।	तुमचा ई-मेल दोनदा एंटर करा.	మీ ఇమెయిల్‌ను రెండుసార్లు నమోదు చేయండి.	Введіть свій e-mail двічі.	Ange din e-post två gånger.	Ingiza barua pepe yako mara mbili.
listen_and_fill	Listen and fill blanks.	듣고 빈칸을 채우세요.	聽完後填滿空格。	听完后填满空格。	聞いて空欄を埋めてください。	Nghe và điền vào chỗ trống.	Écoutez et remplissez les blancs.	Сонсож, хоосон зайг бөглөнө үү.	ฟังและเติมคำในช่องว่าง	Dengar dan isi tempat kosong.	Dengarkan dan isi bagian yang kosong.	सुनें और रिक्त स्थान भरें.	گوش کنید و جاهای خالی را پر کنید.	सुन्नुहोस् र खाली ठाउँहरू भर्नुहोस्।	سنیں اور خالی جگہ پر کریں۔	Dinleyin ve boşlukları doldurun.	הקשיבו והשלימו מקומות ריקים.	استمع واملأ الفراغات.	Hören Sie zu und füllen Sie Lücken aus.	Escuche y complete los espacios en blanco.	Ascolta e riempi gli spazi vuoti.	Ouça e preencha os espaços em branco.	Прослушайте и заполните пропуски.	Posłuchaj i uzupełnij puste miejsca.	ស្តាប់ហើយបំពេញចន្លោះ។	နားထောင်ပြီး ကွက်လပ်ဖြည့်ပါ။	শুনুন এবং শূন্যস্থান পূরণ করুন।	கேட்டு வெற்றிடங்களை நிரப்பவும்.	ਸੁਣੋ ਅਤੇ ਖਾਲੀ ਥਾਂ ਭਰੋ।	ऐका आणि रिक्त जागा भरा.	వినండి మరియు ఖాళీలను పూరించండి.	Послухайте та заповніть пропуски.	Lyssna och fyll tomrum.	Sikiliza na ujaze nafasi zilizoachwa wazi.
match_correct	Match correct pairs.	짝을 맞추세요.	請配對。	请配对。	ペアを組んでください。	Ghép các cặp đúng.	Faites correspondre les bonnes paires.	Зөв хосуудыг тааруулна уу.	จับคู่ให้ถูกต้อง	Padankan pasangan yang betul.	Cocokkan pasangan yang benar.	सही जोड़े मिलाएँ.	جفت های صحیح را مطابقت دهید	सही जोडी मिलाउनुहोस्।	صحیح جوڑوں کو جوڑیں۔	Doğru çiftleri eşleştirin.	התאם זוגות נכונים.	تطابق الأزواج الصحيحة.	Ordnen Sie die richtigen Paare zu.	Une los pares correctos.	Abbina le coppie corrette.	Combine os pares corretos.	Сопоставьте правильные пары.	Dopasuj odpowiednie pary.	ផ្គូផ្គងគូត្រឹមត្រូវ។	မှန်ကန်သောအတွဲများ	সঠিক জোড়া মেলে।	சரியான ஜோடிகளைப் பொருத்தவும்.	ਸਹੀ ਜੋੜਿਆਂ ਦਾ ਮੇਲ ਕਰੋ।	योग्य जोड्या जुळवा.	సరైన జతలను సరిపోల్చండి.	З’єднайте правильні пари.	Matcha rätt par.	Linganisha jozi sahihi.
choose_the_level	Choose the level how you feel about this.	이것이 쉽나요? 어렵나요?	這容易嗎? 很難嗎？	这容易吗? 很难吗？	これが簡単ですか？ 難しいですか？	Hãy chọn mức độ bạn cảm nhận về điều này.	Choisissez le niveau de ce que vous ressentez à ce sujet.	Энэ талаар ямар түвшинд байгаагаа сонго.	เลือกระดับความรู้สึกของคุณเกี่ยวกับเรื่องนี้	Pilih tahap perasaan anda tentang perkara ini.	Pilih tingkat perasaan Anda tentang hal ini.	आप इसके बारे में कैसा महसूस करते हैं, इसका स्तर चुनें।	سطح احساسی که در این مورد دارید را انتخاب کنید.	तपाईं यस बारे कस्तो महसुस गर्नुहुन्छ स्तर छान्नुहोस्।	اس سطح کا انتخاب کریں کہ آپ اس کے بارے میں کیسا محسوس کرتے ہیں۔	Bu konuda ne hissettiğinizi seviyeyi seçin.	בחר את הרמה איך אתה מרגיש לגבי זה.	اختر المستوى الذي تشعر به حيال ذلك.	Wählen Sie die Ebene, auf der Sie dazu stehen.	Elige el nivel de cómo te sientes al respecto.	Scegli il livello in cui ti senti a riguardo.	Escolha o nível como você se sente sobre isso.	Выберите уровень, как вы к этому относитесь.	Wybierz poziom, co o tym myślisz.	ជ្រើសរើសកម្រិតដែលអ្នកមានអារម្មណ៍ចំពោះបញ្ហានេះ។	ယင်းအပေါ် သင်မည်ကဲ့သို့ ခံစားရသည့် အဆင့်ကို ရွေးချယ်ပါ။	আপনি এটি সম্পর্কে কেমন অনুভব করেন তা চয়ন করুন।	இதைப் பற்றி நீங்கள் எப்படி உணருகிறீர்கள் என்பதைத் தேர்ந்தெடுக்கவும்.	ਪੱਧਰ ਚੁਣੋ ਕਿ ਤੁਸੀਂ ਇਸ ਬਾਰੇ ਕਿਵੇਂ ਮਹਿਸੂਸ ਕਰਦੇ ਹੋ।	तुम्हाला याबद्दल कसे वाटते ते स्तर निवडा.	దీని గురించి మీరు ఎలా భావిస్తున్నారో స్థాయిని ఎంచుకోండి.	Виберіть рівень, як ви ставитеся до цього.	Välj vilken nivå du tycker om detta.	Chagua kiwango jinsi unavyohisi kuhusu hili.
select_what_you_hear	Select what you hear.	들어보고 선택하세요.	請聽後選擇。	请听后选择。	聞いてみて選択してください。	Chọn những gì bạn nghe thấy	Sélectionnez ce que vous entendez.	Сонссон зүйлээ сонго.	เลือกสิ่งที่คุณได้ยิน	Pilih apa yang anda dengar.	Pilih apa yang Anda dengar.	आप जो सुनते हैं उसे चुनें.	آنچه می شنوید را انتخاب کنید.	तपाईंले सुन्नु भएको कुरा चयन गर्नुहोस्।	آپ جو سنتے ہیں اسے منتخب کریں۔	Ne duyduğunuzu seçin.	בחר את מה שאתה שומע.	حدد ما تسمعه.	Wählen Sie aus, was Sie hören.	Selecciona lo que escuchas.	Seleziona ciò che senti.	Selecione o que você ouve.	Выберите то, что вы слышите.	Wybierz to, co słyszysz.	ជ្រើសរើសអ្វីដែលអ្នកឮ។	သင်ကြားသောအရာကို ရွေးပါ။	আপনি যা শুনছেন তা নির্বাচন করুন।	நீங்கள் கேட்பதைத் தேர்ந்தெடுக்கவும்.	ਜੋ ਤੁਸੀਂ ਸੁਣਦੇ ਹੋ ਉਸਨੂੰ ਚੁਣੋ।	तुम्ही जे ऐकता ते निवडा.	మీరు విన్నదాన్ని ఎంచుకోండి.	Виберіть те, що ви чуєте.	Välj det du hör.	Chagua unachosikia.
select_correct_one	Select correct one.	맞는 것을 선택하세요.	請選擇正確的。	请选择正确的。	正しいものを選択してください。	Chọn đúng.	Sélectionnez le bon.	Зөвийг сонго.	เลือกข้อความที่ถูกต้อง	Pilih yang betul.	Pilih yang benar.	सही का चयन करें.	صحیح را انتخاب کنید	सही एक छान्नुहोस्।	صحیح ایک کو منتخب کریں۔	Doğru olanı seçin.	בחר אחד נכון.	اختر واحدة صحيحة.	Wählen Sie die richtige aus.	Seleccione el correcto.	Seleziona quello corretto.	Selecione o correto.	Выберите правильный.	Wybierz właściwy.	ជ្រើសរើសត្រឹមត្រូវ។	မှန်ကန်သောတစ်ခုကို ရွေးပါ။	সঠিক একটি নির্বাচন করুন.	சரியான ஒன்றைத் தேர்ந்தெடுக்கவும்.	ਇੱਕ ਸਹੀ ਚੁਣੋ।	योग्य एक निवडा.	సరైనదాన్ని ఎంచుకోండి.	Виберіть правильний.	Välj rätt.	Chagua moja sahihi.
learned_these_word	You have just learned these words.	방금 학습하신 목록입니다.	這是您剛學習的清單。	这是您刚刚学习的列表。	先ほど学習したリストです。	Bạn vừa học được những từ này.	Vous venez d'apprendre ces mots.	Та эдгээр үгсийг саяхан сурсан.	คุณเพิ่งเรียนรู้คำศัพท์เหล่านี้	Anda baru sahaja mempelajari perkataan ini.	Anda baru saja mempelajari kata-kata ini.	आपने अभी-अभी ये शब्द सीखे हैं।	شما تازه این کلمات را یاد گرفتید.	तपाईंले भर्खर यी शब्दहरू सिक्नुभयो।	آپ نے یہ الفاظ ابھی سیکھے ہیں۔	Bu kelimeleri yeni öğrendiniz.	זה עתה למדת את המילים הללו.	لقد تعلمت للتو هذه الكلمات.	Sie haben gerade diese Wörter gelernt.	Acabas de aprender estas palabras.	Hai appena imparato queste parole.	Você acabou de aprender estas palavras.	Вы только что выучили эти слова.	Właśnie nauczyłeś się tych słów.	អ្នកទើបតែបានរៀនពាក្យទាំងនេះ។	ဒီစကားလုံးတွေကို မင်းအခုမှပဲ သင်ယူပြီးပြီ။	আপনি এই শব্দ শিখেছি.	இந்த வார்த்தைகளை நீங்கள் கற்றுக்கொண்டீர்கள்.	ਤੁਸੀਂ ਇਹ ਸ਼ਬਦ ਹੁਣੇ ਹੀ ਸਿੱਖੇ ਹਨ।	तुम्ही हे शब्द नुकतेच शिकलात.	మీరు ఇప్పుడే ఈ పదాలు నేర్చుకున్నారు.	Ви щойно вивчили ці слова.	Du har precis lärt dig dessa ord.	Umejifunza maneno haya.
span_learn_by_examples	Learn Esperanto by Examples	예제를 통한 에스페란토 학습	透過例題學習世界語	通过例题学习世界语	例題によるエスペラント学習	Học Esperanto qua ví dụ	Apprendre l'espéranto par des exemples	Эсперанто хэлийг жишээгээр сур	เรียนรู้คำศัพท์ภาษาเอสเปรันโตจากตัวอย่าง	Belajar Esperanto dengan Contoh	Pelajari Esperanto dengan Contoh	उदाहरणों द्वारा एस्पेरान्तो सीखें	اسپرانتو را با مثال بیاموزید	उदाहरणहरूद्वारा एस्पेरान्तो सिक्नुहोस्	مثالوں سے ایسپرانٹو سیکھیں۔	Örneklerle Esperanto Öğrenin	למד אספרנטו לפי דוגמאות	تعلم الاسبرانتو بالأمثلة	Lernen Sie Esperanto anhand von Beispielen	Aprende esperanto con ejemplos	Impara l'esperanto con esempi	Aprenda esperanto com exemplos	Изучайте эсперанто на примерах	Ucz się esperanta na przykładach	រៀនភាសា Esperanto ដោយឧទាហរណ៍	ဥပမာများဖြင့် Esperanto ကို လေ့လာပါ။	উদাহরণ দিয়ে এস্পেরান্তো শিখুন	எஸ்பெராண்டோவை எடுத்துக்காட்டுகள் மூலம் கற்றுக்கொள்ளுங்கள்	ਉਦਾਹਰਨਾਂ ਦੁਆਰਾ ਐਸਪੇਰਾਂਟੋ ਸਿੱਖੋ	उदाहरणांद्वारे एस्पेरांतो शिका	ఉదాహరణల ద్వారా ఎస్పరాంటో నేర్చుకోండి	Вивчайте есперанто на прикладах	Lär dig esperanto genom exempel	Jifunze Kiesperanto kwa Mifano
Btn_Start_learning	Start Learning	학습 시작하기	開始學習	开始学习	学習を始める	Bắt đầu học	Commencer à apprendre	Сураж эхэл	เริ่ม	Mula Belajar	Mulai Belajar	सीखना शुरू करें	شروع به یادگیری	सिक्न सुरु गर्नुहोस्	سیکھنا شروع کریں۔	Öğrenmeye başla	תתחיל ללמוד	ابدا بالتعلم	Beginne zu lernen	Comienza a aprender	Inizia a imparare	Comece a aprender	Начать обучение	Zacząć naukę	ចាប់ផ្តើមរៀន	စတင်လေ့လာပါ။	শেখা শুরু করো	கற்றலைத் தொடங்குங்கள்	ਸਿੱਖਣਾ ਸ਼ੁਰੂ ਕਰੋ	शिकणे सुरू करा	నేర్చుకోవడం ప్రారంభించండి	Почніть навчання	Börja lära sig	Anza Kujifunza
btn_continue	Continue	다음	下一個	下一个	次	Tiếp tục	Continuer	Үргэлжлүүлэх	ไปต่อ	teruskan	Melanjutkan	जारी रखना	ادامه هید	जारी राख्नुहोस्	جاری رہے	Devam etmek	לְהַמשִׁיך	يكمل	Weitermachen	Continuar	Continua	Continuar	Продолжать	Kontynuować	បន្ត	ဆက်လက်	চালিয়ে যান	தொடரவும்	ਜਾਰੀ ਰੱਖੋ	सुरू	కొనసాగించు	Продовжити	Fortsätta	Endelea
btn_listen_continue	Listen and Continue	듣고 다음으로	聽完之後	听完之后	聞いてから次へ	Nghe và tiếp tục	Écoutez et continuez	Сонсож, үргэлжлүүлээрэй	ฟังและไปต่อ	Dengar dan Teruskan	Dengarkan dan Lanjutkan	सुनें और जारी रखें	گوش کن و ادامه بده	सुन्नुहोस् र जारी राख्नुहोस्	سنیں اور جاری رکھیں	Dinle ve Devam Et	הקשב והמשך	الاستماع والمتابعة	Hören Sie zu und fahren Sie fort	Escuche y continúe	Ascolta e continua	Ouça e continue	Слушайте и продолжайте	Posłuchaj i kontynuuj	ស្តាប់ហើយបន្ត	နားထောင်ပြီး ဆက်လုပ်ပါ။	শুনুন এবং চালিয়ে যান	கேட்டு தொடரவும்	ਸੁਣੋ ਅਤੇ ਜਾਰੀ ਰੱਖੋ	ऐका आणि सुरू ठेवा	వినండి మరియు కొనసాగించండి	Слухайте і продовжуйте	Lyssna och fortsätt	Sikiliza na Uendelee
